Re,Pr,rough,T_amb,wall,L_over_D,Nu
5985.67,0.468955,0.0485656,285.937,333.447,15.1126,17.9983
1604.31,0.666064,0.0314323,292.274,337.746,18.7878,6.54619
1875.35,6.14235,0.0477442,290.128,329.072,10.0711,18.5653
15005,14.6095,0.0363346,300.21,331.06,16.0598,156.606
16611.8,3.45851,0.0450316,285.807,318.757,11.2513,94.1541
79420,1.67227,0.0659467,297.32,301.187,13.8766,239.284
4539.75,7.89472,0.0702343,294.862,345.309,22.3337,45.2041
1072.94,0.438424,0.0537634,297.106,330.67,16.8008,4.16878
38911.8,7.21385,0.0159614,306.909,332.887,15.2808,232.12
4622.74,0.971949,0.0677359,299.126,350.943,13.3003,19.0424
34007.9,0.3586,0.030695,293.069,341.564,15.5166,60.6973
4331.69,4.47039,0.0589314,309.546,304.38,24.632,36.1522
5609.5,3.67506,0.0368483,298.253,321.862,20.6184,38.6121
1307.15,0.834911,0.0302756,289.373,331.892,10.8031,6.29528
6354.34,0.687313,0.0568254,290.707,302.61,19.8312,23.0098
44475.7,1.09483,0.0440873,299.584,338.58,11.0681,120.905
3013.54,5.35395,0.0717612,293.341,345.593,23.3569,27.4477
49940.9,1.37663,0.0391468,290.444,353.875,21.0407,150.036
53506.3,3.10022,0.0637067,285.139,338.444,18.6922,223.043
1003.27,4.78925,0.0151503,307.266,311.922,15.7571,9.89779
24660.7,8.88013,0.074551,286.824,354.536,19.7443,176.295
1046.04,6.95852,0.0233031,302.065,353.635,14.3608,13.8498
63598.5,0.34688,0.0643616,287.257,333.411,15.3981,112.999
2091.68,1.18695,0.0489469,288.446,356.706,14.9347,9.89261
2189.54,0.90403,0.010213,300.92,357.599,24.5907,10.5978
12880.3,0.591366,0.0722918,286.423,304.671,10.9347,37.3242
22017.7,0.717969,0.0352223,296.189,323.038,18.8763,59.8678
26206.6,4.53297,0.0140743,296.12,325.216,16.333,143.047
2324.4,13.365,0.0602466,307.746,310.286,24.6226,27.6759
1729.71,3.04557,0.0144593,300.295,307.476,11.8539,13.0151
3107.57,3.06324,0.0165456,288.524,316.346,20.3352,21.6897
8658.08,15.5956,0.0629915,286.794,357.294,11.7659,89.0101
13583.7,2.69857,0.0170625,294.054,339.966,20.3351,64.2807
27868.6,13.5248,0.0556429,307.665,345.169,21.2045,247.321
43116.6,1.76954,0.0333347,305.105,356.301,23.6805,156.947
9084.52,1.13028,0.0198458,295.512,327.321,13.3803,37.4925
12426.8,0.238605,0.0795905,298.392,341.071,10.2393,24.7758
39994.2,11.6041,0.0729936,301.636,301.94,20.2758,312.348
13032.8,3.08715,0.0221802,303.664,310.798,17.8228,72.5129
5480.82,0.312943,0.0125072,295.147,303.736,19.5277,13.7637
7651.4,8.66157,0.04858,309.038,322.242,15.5994,68.526
5487.4,2.58398,0.0413741,297.392,307.156,14.1393,34.6717
1669.29,0.559769,0.0526853,293.965,302.998,24.0204,7.63544
58139,0.443604,0.0195178,303.508,335.1,21.1404,103.774
4560.56,13.2295,0.0630614,291.038,315.457,14.9884,52.3619
812.073,0.609627,0.0797053,295.853,318.237,20.1084,3.96251
26967.4,15.3004,0.0584423,286.969,339.524,14.0068,228.992
111240,1.84399,0.0387037,308.78,304.478,16.0655,330.113
1279.21,3.23272,0.0284449,308.955,307.677,11.1638,11.676
22584.2,0.768151,0.0118241,293.716,322.383,21.2393,60.7975
29257.4,15.51,0.0282995,308.95,324.992,19.8333,264.087
8179.29,5.23277,0.0526301,301.92,348.278,14.0007,58.669
32142.7,3.3128,0.0364028,305.06,341.21,10.2357,156.416
28895.7,1.12849,0.0215331,304.257,320.526,22.4369,90.3984
1991.04,3.93016,0.0114196,293.993,317.306,16.0073,17.9464
7429.98,1.54166,0.0246811,302.645,313.045,24.6405,36.8155
20425.6,6.39028,0.0319838,293.053,308.138,15.6645,133.171
2492.74,3.48062,0.0520143,294.287,359.581,16.6065,20.2452
15340.4,4.14855,0.0556288,306.205,354.27,23.7232,89.5135
7314.21,0.502048,0.0252247,306.333,308.302,13.32,22.6653
78817.5,5.60085,0.0694703,299.698,317.419,23.8957,360.297
1314.5,4.74597,0.0589979,291.653,342.24,18.3445,13.3449
3218.06,0.941722,0.0620064,300.931,340.329,10.317,14.5011
2644,2.77946,0.0236959,289.113,319.061,11.3941,17.3885
2989.03,1.14003,0.0568933,307.221,319.184,23.5701,13.6915
105933,1.21938,0.0736827,298.271,324.989,10.3956,242.745
3843,1.94854,0.053001,309.271,318.963,10.0246,23.0317
1676.39,9.19945,0.0718811,305.045,339.66,24.6692,20.9046
900.584,0.397089,0.0451719,290.737,334.041,22.5292,3.92644
1461.54,0.213935,0.0453288,301.204,339.514,15.0508,3.68716
49715.4,7.99997,0.0435966,287.751,310.858,11.1139,314.44
12079.5,1.90454,0.0653775,289.775,348.038,15.1149,52.2232
5635.2,11.0133,0.0350464,295.811,328.706,22.4162,60.0884
47907.1,0.759366,0.0674313,306.378,336.677,11.6941,122.88
15933.5,7.04617,0.0611698,297.013,333.985,23.4085,107.366
2045.6,1.2697,0.0480832,297.845,312.401,15.8082,11.908
4013.53,2.42645,0.0568772,286.614,349.163,23.3299,26.3452
1019.8,0.945649,0.0799898,305.675,314.675,21.3206,5.44534
1461.67,3.54838,0.029164,297.799,316.964,13.6959,13.5149
2513.35,0.403404,0.0675741,288.37,346.828,21.6093,8.53267
83955.4,0.249424,0.0623469,293.013,345.208,14.5572,109.432
4087.85,2.32286,0.0473895,296.411,308.63,13.2146,24.2895
94452.8,7.42124,0.0347267,301.47,308.696,23.4524,534.835
958.983,6.2003,0.0384345,309.936,337.251,14.7696,11.0063
6561.71,7.18172,0.0729796,305.301,347.11,22.6287,59.6712
98424.6,8.71671,0.0444867,294.803,301.001,20.9618,520.605
37221.8,6.88794,0.0620052,295.369,318.328,22.7379,225.642
2754.37,0.487677,0.0119989,286.104,358.362,14.8096,9.89449
3649.44,0.38563,0.0679728,291.664,347.427,24.1486,11.2057
1766.98,2.08021,0.050229,307.979,319.413,19.2988,13.1757
8302.33,0.271984,0.0780081,298.918,344.152,19.6063,19.0279
17094.2,3.05256,0.0758997,308.129,315.359,11.8845,96.1123
48048.2,2.89524,0.0593004,299.735,326.301,16.3402,190.467
21309,1.1913,0.0309179,299.443,337.876,24.4872,73.0077
34715.3,3.48649,0.0185773,307.271,320.821,21.4014,167.185
1881.13,0.444597,0.0459152,300.172,318.59,21.1222,6.76548
3084.7,1.75326,0.0411011,291.325,332.293,10.526,17.4649
11869.5,0.349822,0.0275901,288.327,345.084,21.9278,28.3347
77262.4,0.914016,0.0546752,303.658,305.308,14.4229,169.476
6276.27,0.390539,0.0447526,294.328,314.96,12.0903,17.5389
4434.87,11.9152,0.0421505,296.987,354.793,16.6878,49.9418
25038.9,0.556672,0.052009,308.741,307.081,18.9311,63.7499
28012.9,1.42086,0.0156999,303.514,322.173,14.5518,99.2435
1443.35,5.77016,0.062533,292.084,329.759,16.5649,14.4321
9303.1,13.7103,0.0313665,302.7,321.077,18.7305,107.2
20115.5,1.35447,0.0537758,296.029,305.701,19.5072,73.1506
1635.25,0.214861,0.0127446,287.04,339.165,11.8211,4.7697
7496.43,1.16588,0.0620959,288.412,323.909,23.3836,30.7126
21301.8,6.26523,0.038441,286.022,357.435,21.9325,134.524
6973.91,7.04412,0.0437942,307.29,318.512,11.5041,65.9384
2727.31,0.456036,0.071356,296.211,324.915,17.5693,8.23358
90903.1,0.773952,0.0604567,292.611,342.443,17.3148,183.678
1732.9,0.296298,0.0706168,303.524,352.585,21.4522,5.55419
7812.22,0.255101,0.07433,297.343,304.794,24.2373,17.1513
25613,2.04992,0.0365306,297.429,333.251,17.8351,102.403
19990.1,0.336436,0.0752172,302.887,323.148,12.0925,40.4785
928.582,1.17575,0.0360997,294.619,308.898,16.0934,5.57237
2366.85,0.81888,0.0483335,308.662,339.991,16.9634,10.3969
99768.8,6.43074,0.0478169,296.193,324.894,21.9664,471.819
37455.5,3.48992,0.0293668,301.442,336.678,14.5864,159.863
62370.8,0.260565,0.0789329,306.344,312.349,16.116,88.4304
63255.5,1.65659,0.0260778,297.302,341.753,16.5298,198.535
3979.4,7.00277,0.0650297,289.118,354.425,13.9496,37.0006
3500.59,13.1148,0.0664947,290.593,317.259,18.4806,41.2204
1282.66,2.12376,0.0190104,286.981,307.466,13.8091,9.93786
30261,12.2672,0.0238892,287.029,326.769,20.7482,237.391
3755.97,10.3467,0.0100564,299.128,303.839,15.5187,40.9539
14130.7,0.836771,0.0125649,286.872,309.696,19.2989,46.2239
119782,0.311474,0.0239636,294.785,322.472,18.6646,162.731
4771.27,8.26894,0.0415613,301.55,344.197,20.2859,44.9147
17177,6.5259,0.0736792,304.176,339.632,19.149,123.387
1245.57,7.7756,0.0544737,307.883,301.97,10.7776,16.0714
99807.1,6.67701,0.0770128,291.012,335.803,19.3375,508.901
8362.93,6.13692,0.0551554,287.181,335.055,20.1157,65.7533
18412.2,0.432899,0.0612268,301.698,342.926,17.4802,42.4684
1932.13,0.833659,0.0153632,300.396,306.743,23.1884,8.32921
3062.26,6.2741,0.0216109,297.675,329.252,14.871,32.0966
7206.24,1.28767,0.0556163,292.546,322.772,24.398,31.4075
12624.4,11.3353,0.0552017,303.293,321.852,24.3974,117.873
49741.8,0.394393,0.0305752,300.125,314.4,16.7023,89.3839
30299.6,3.95895,0.0581141,291.675,330.063,18.8334,156.36
949.593,0.944604,0.0664165,307.557,312.366,12.0249,5.31751
1285.83,0.751649,0.0459021,306.68,319.054,21.2662,5.64494
807.162,1.61221,0.0334287,289.383,311.507,21.3428,6.08664
3037.39,3.38753,0.0337112,301.985,304.252,14.2472,23.7453
15252.3,4.34195,0.0583485,287.414,340.929,23.0546,90.7264
8936.45,0.873576,0.0479074,285.453,337.581,10.6119,33.4381
24840.2,0.6552,0.063773,287.486,344.858,24.2818,61.1762
33902.1,8.78261,0.0564614,303.548,314.188,17.2605,225.636
3910.67,0.617944,0.0396822,292.344,327.031,22.756,14.5488
12487.9,7.88019,0.0219305,285.394,315.334,17.3988,106.215
902.239,10.8598,0.0229378,299.752,351.808,19.477,14.169
46394.8,10.1868,0.0161516,298.181,324.31,11.4119,322.13
2556.99,0.533049,0.0231235,293.551,359.744,16.3544,9.0091
18953.7,2.30899,0.0309826,299.789,319.983,10.6548,85.5902
3280.51,0.437298,0.0470179,305.785,311.437,18.1792,11.2993
89176.4,2.22403,0.0529744,285.453,342.728,23.6203,301.883
52583.3,0.32102,0.0679029,289.363,337.061,20.7205,84.197
17368.5,12.5074,0.0147257,293.035,305.798,15.019,142.962
10815,0.204958,0.018247,295.612,328.676,15.6708,19.6697
58499.6,0.200596,0.0541842,286.856,346.075,24.8135,73.0896
1011.87,2.32058,0.0205989,285.764,357.059,13.4951,8.38492
867.165,15.4447,0.0337431,285.845,318.519,11.9902,15.9781
25233.9,1.98378,0.0289821,305.898,325.334,10.4293,103.595
7095.34,1.98522,0.0639945,285.863,344.893,12.9694,34.7431
1729.19,0.91943,0.0672475,300.535,323.711,15.8636,7.98828
54251.8,0.602028,0.0767745,286.485,352,19.5336,125.463
89840.8,0.209808,0.0552371,303.481,340.966,23.9024,117.854
4028.11,6.37673,0.0557515,289.488,309.766,11.1684,35.4879
4526.21,1.11912,0.0449554,291.161,317.807,20.8476,21.0384
13158.8,1.61777,0.0451954,291.012,314.055,14.8487,50.5379
1515.08,4.90225,0.0636221,287.772,339.131,22.1076,15.8977
20907.2,0.75142,0.024957,296.042,350.916,14.9059,56.5934
4540.78,0.516103,0.0132071,297.275,319.645,11.7299,14.7091
84186.8,0.809567,0.0484256,302.325,342.221,10.6125,182.167
60063.9,0.44369,0.0645994,286.291,342.037,11.8713,105.591
13692.1,1.95346,0.066556,308.243,319.057,21.5933,54.2586
101275,0.429488,0.0224486,289.822,324.326,20.1193,170.709
3693.76,8.1912,0.0731439,296.756,351.361,20.0342,38.3692
72797.8,0.22001,0.064652,298.711,312.597,10.388,99.3923
10904.8,0.492816,0.0478102,299.114,315.527,19.6775,28.0003
1541.01,0.760773,0.0389153,286.365,319.789,16.8412,6.71572
33413.7,0.486103,0.0212946,305.374,350.563,21.0585,69.6478
873.261,9.32241,0.0702052,291.727,340.955,16.0485,13.2839
85612.7,9.47093,0.044679,295.356,357.897,21.5538,514.779
1087.87,11.9417,0.0667878,294.361,340.872,17.6679,16.3434
1724.04,0.622422,0.071233,306.604,357.129,20.6252,7.90882
2647.35,0.491156,0.0797798,286.604,335.527,16.4183,8.9029
4252.91,0.283142,0.013375,301.598,342.545,12.5507,10.7077
1760.72,0.237711,0.0380333,294.97,313.201,12.8142,4.95982
2194.78,1.46728,0.0124961,290.907,345.02,14.1562,12.3886
2771.26,2.67086,0.0596256,288.959,335.736,23.6455,19.163
15788.1,8.84689,0.0217857,297.116,302.766,22.4492,125.456
4047.85,4.01241,0.0528911,297.604,313.611,19.0987,31.9487
25597.7,0.231258,0.0759486,302.433,332.041,24.3463,44.0725
9943.15,8.59877,0.0432618,289.625,340.147,13.5313,87.3629
1316.22,0.506776,0.0595361,290.488,355.371,13.3203,5.07403
14894.2,9.56064,0.0498445,298.903,340.565,10.6326,106.475
14484.7,0.691765,0.0353008,300.09,337,13.3244,41.8365
29954.3,0.631258,0.0103512,308.659,316.165,19.7688,75.0214
9652.47,4.42413,0.071983,305.552,326.601,16.7241,67.4362
48376.2,1.69623,0.0392691,305.309,307.098,22.3911,161.534
42990,0.311497,0.0383832,285.337,305.096,14.9237,68.605
60891.6,14.8834,0.0271306,295.194,349.801,10.9806,425.893
1764.45,1.45097,0.0453628,290.279,349.035,17.9154,10.4451
8133.33,1.51271,0.0118533,294.492,308.736,23.5063,36.6058
23257.6,2.32997,0.0621295,290.968,318.827,20.0689,101.55
92370.7,5.64953,0.0353641,298.779,305.706,21.3619,407.913
16052.4,1.46566,0.0310396,293.47,339.681,11.3818,56.7501
1158.58,5.20741,0.0104836,306.523,316.973,11.7765,12.6291
105741,9.50434,0.0559062,285.637,306.321,10.1192,597.083
105807,1.94678,0.0328485,306.311,321.727,13.5922,327.406
3422.17,3.36964,0.0666941,287.079,319.751,24.1883,25.85
2744.85,0.280786,0.0294134,295.562,315.863,13.7045,7.86076
71563,0.928424,0.044814,298.078,348.785,15.26,177.83
22966.6,15.3526,0.0416261,296.245,306.472,22.0716,208.219
1395.95,0.303984,0.071727,297.277,352.717,13.0132,4.55471
74480.1,14.3434,0.0600209,303.063,326.326,18.0262,497.688
1863.34,0.851966,0.0437629,287.081,309.621,13.4298,8.36066
2607.45,0.584305,0.0395212,289.663,350.783,13.2002,11.415
13685.2,0.861608,0.021563,298.356,344.742,20.468,47.0794
57680.5,8.24732,0.0490251,287.242,321.578,21.3234,333.913
1824.45,4.4305,0.0269272,307.56,318.15,14.8951,17.1562
3501,14.4075,0.0485525,287.849,327.284,19.8924,45.5537
1701.41,2.31712,0.0512426,308.024,331.503,19.8237,12.3283
7780.99,1.51614,0.0155614,286.25,304.819,11.0431,35.7227
12292.1,2.81222,0.0787295,285.933,330.909,23.0198,65.7903
93384.2,0.906657,0.0657991,288.127,328.204,20.1277,212.673
4519.51,2.06259,0.0557116,309.437,301.943,18.4196,26.1971
18242.2,0.667216,0.0293593,293.752,322.571,21.2168,50.8297
16727.7,0.237018,0.018626,309.06,331.539,12.7149,29.6117
85673.2,0.227744,0.0509069,302.33,317.266,17.6189,107.887
1574.19,1.20844,0.0566357,305.557,321.366,17.7809,9.22341
24647.5,1.11953,0.0361631,297.785,313.349,23.5483,82.0328
920.709,0.219081,0.0755485,304.386,319.754,22.4155,3.16865
48908.6,2.58131,0.0488455,290.309,342.5,14.1128,201.607
37148.8,2.50964,0.0709347,295.155,301.126,19.5661,144.785
1755.7,0.234625,0.0351171,287.683,320.13,16.3292,5.29572
102707,1.7905,0.0196913,309.636,351.403,19.47,266.704
22156.1,2.95821,0.0556179,304.652,309.719,15.712,102.369
15309.6,1.21043,0.0752594,299.674,328.909,16.093,55.6921
15777.2,0.48341,0.0185962,309.352,300.822,16.1019,39.1184
11653.7,11.4358,0.0151821,294.394,359.55,17.6411,110.442
27656.8,11.5921,0.0257743,295.863,323.437,23.85,220.797
2898.6,0.289351,0.0448769,293.25,309.322,16.2615,8.1259
3556.58,1.72771,0.0685398,297.285,348.892,24.8813,18.8224
108001,0.501132,0.0503585,296.758,306.544,24.7879,188.898
22208.3,6.57799,0.0755604,290.812,308.359,12.5348,143.254
41911.4,1.28329,0.0161666,288.148,325.617,13.7354,127.411
1250.93,0.231998,0.0702291,294.962,346.878,24.4314,3.98793
3407.36,5.83102,0.0185433,309.556,344.235,18.2956,30.9512
2975.89,0.945972,0.0231357,304.373,327.774,17.9489,14.7846
14535.7,0.491626,0.0623261,291.159,333.823,13.6727,38.6238
17875.7,1.83683,0.0575054,305.976,356.547,22.4473,71.1783
1477.35,6.06416,0.0388591,300.7,341.704,20.4028,16.354
19661.3,0.545731,0.0118191,286.16,318.702,14.7513,51.9913
1909.05,2.77749,0.0713323,299.348,313.996,23.6374,13.844
5025.74,1.35427,0.0210653,294.085,335.193,14.7649,24.1337
41403.4,0.256832,0.0168113,287.691,334.915,14.8772,65.1045
12930.8,4.75953,0.0149231,294.397,323.437,11.7929,76.9209
1324.94,7.83868,0.0187264,290.144,356.867,21.6663,16.9648
115785,4.30358,0.0577709,301.21,356.361,19.3634,483.845
1078.74,9.59523,0.0615122,292.242,347.997,15.0613,14.4914
18531.8,0.211423,0.0243312,302.514,325.488,20.2285,33.0995
12377.9,1.52022,0.0449487,294.392,315.031,16.2761,51.225
1802.23,2.20775,0.0557198,287.709,334.975,10.1897,11.9087
3111.06,2.64203,0.0562086,289.919,326.171,22.9641,19.4624
59913.3,3.38652,0.0129305,299.042,349.618,14.9885,270.957
13319.6,0.396169,0.0666626,303.89,353.848,23.9681,31.0983
73106.6,1.34327,0.0577126,307.249,310.261,12.8424,199.719
1922.42,0.249053,0.0366385,288.112,348.807,19.8672,5.70729
11818.7,4.97766,0.0375747,304.355,305.934,13.6231,79.0117
72719,9.72014,0.0258881,286.047,320.009,18.7411,427.484
2246.2,5.76707,0.0247471,299.169,331.478,10.9795,21.6052
20599.2,1.42709,0.0740452,301.99,306.635,22.2648,73.785
17360.6,0.500272,0.0634875,301.57,317.927,11.144,44.0545
55724.1,11.4834,0.0413266,308.76,334.371,18.7127,390.26
6354.01,1.72118,0.0324241,297.077,307.826,19.3471,33.2638
93277.2,8.13129,0.0289171,292.921,322.783,12.6651,508.085
1071.82,1.44748,0.0672022,304.51,339.529,18.566,7.52199
11725.8,0.661463,0.0125487,295.152,334.201,12.1279,35.0125
54696.8,1.75478,0.0195747,290.582,308.846,11.102,186.846
1122.26,8.76333,0.0716946,285.183,341.58,15.592,14.6987
55024.9,3.10189,0.0213596,294.379,336.247,10.0236,211.916
2446.41,5.97528,0.0195681,293.021,343.948,13.7243,24.8792
889.592,5.99148,0.0672409,288.981,344.632,13.039,11.0152
1153.02,0.206138,0.072111,286.081,354.866,15.4386,3.31283
119762,0.86308,0.0601612,287.924,313.173,19.4052,249.167
18151.5,0.886342,0.047144,305.489,343.894,22.9862,55.3813
2588.15,12.0109,0.0304422,302.147,324.63,18.9272,33.7794
9013.99,0.829776,0.0652237,292.49,341.541,17.3122,31.0676
2440.69,1.09118,0.0380398,287.214,328.077,18.5649,11.714
2245.35,7.62767,0.0260731,303.426,306.434,15.1008,24.53
32031.1,0.727456,0.0290538,297.768,316.039,13.317,92.1127
8014.59,12.2783,0.0325929,292.949,329.441,23.9057,80.3803
3789.35,2.1001,0.0789703,305.196,317.985,22.5809,21.4037
60282.2,5.03907,0.0774563,285.019,356.622,15.1436,294.419
3330.83,1.31198,0.0632754,285.456,345.512,17.0372,17.2003
43042,7.55901,0.0171907,291.591,326.558,22.8883,247.753
93566.5,1.39225,0.075706,303.833,342.229,18.4815,243.548
847.793,0.233525,0.0781045,293.737,333.166,10.7719,2.75488
28001.7,0.338539,0.0638584,306.486,311.479,21.4524,53.07
12552.9,1.83107,0.0339465,296.451,301.663,17.1551,59.7045
4115.63,1.0835,0.0640742,293.964,341.929,19.7587,17.7272
1667.4,1.08465,0.0669879,307.156,309.079,18.4948,8.99204
1109.47,5.72052,0.0283381,291.272,345.804,24.4288,11.584
3024.77,7.97258,0.0315627,308.552,332.915,18.3803,32.8348
7062.41,9.54371,0.0369865,308.693,358.176,15.1673,72.5625
17021.8,0.89192,0.062154,299.605,302.3,12.3046,55.7248
6435.46,9.61204,0.0464578,309.035,317.592,18.7043,60.0095
1979.98,6.03958,0.0367252,309.168,320.853,21.4237,21.9613
3671.92,0.353823,0.0242945,307.538,344.006,24.9173,10.9377
3677.78,0.618118,0.0618756,307.373,304.645,24.8627,13.0868
1647.07,1.97358,0.0753254,293.547,342.904,22.9075,10.9177
18087.1,1.53303,0.0295286,309.665,304.743,11.8929,67.1375
6319.43,3.57566,0.0667144,306.515,321.454,11.6899,46.2331
36213.3,0.983219,0.0403296,296.47,303.739,14.9805,105.077
57792,2.42612,0.0104495,295.632,327.371,11.3191,216.639
50363.8,9.35442,0.0282912,308.543,340.163,15.4642,307.302
88819.2,2.66156,0.0563636,295.122,345.008,14.5414,316.516
1037.23,12.2048,0.0366453,306.426,314.358,14.4576,15.4024
109585,10.7416,0.0409303,286.866,330.911,21.9488,623.808
13711.2,1.73103,0.0224283,294.865,358.682,20.6216,56.5461
14809.5,1.81088,0.0575228,302.823,314.061,21.4864,62.6434
7624.13,4.56536,0.0341801,286.766,325.157,17.1767,52.6977
13448.8,0.341305,0.0550019,286.207,359.457,15.418,29.4895
2171.39,1.02866,0.0759544,292.478,338.051,10.7739,11.1984
117478,2.02158,0.0158211,299.365,341.594,21.0656,317.809
4604.2,1.64076,0.0514576,288.166,334.275,19.6441,23.3733
31157.1,11.3093,0.0641692,306.929,353.495,15.6676,248.1
2085.28,13.9603,0.0777691,305.764,308.547,23.6512,29.6859
5826.66,4.79388,0.0217915,285.433,309.078,12.0659,46.1265
2923.51,1.58103,0.0771095,285.084,339.506,23.6335,15.8089
1231.8,0.395769,0.0295425,299.92,320.771,14.5829,4.26618
45842,1.81809,0.0709024,286.63,332.225,16.0968,151.791
1766.76,0.230893,0.0315531,292.168,301.484,22.5217,5.25003
34940.6,3.09578,0.0471579,299.295,306.884,18.6043,155.063
5678.81,2.04389,0.0183955,300.715,329.044,11.2066,32.2712
24652,0.297721,0.0706981,297.569,325.591,20.354,44.0103
7001.05,0.438806,0.0576077,296.079,339.027,16.7558,19.2742
1619.32,0.730423,0.0504378,305.863,300.296,13.9005,7.43529
4069.33,0.585798,0.0683324,294.119,310.559,22.4661,12.9979
25516.7,1.15055,0.0569764,287.322,352.722,17.6359,82.6123
43739.6,0.244458,0.0620149,305.083,320.455,20.3455,69.8
12653,2.11024,0.0555095,305.74,342.343,11.3671,61.7061
23648,2.31553,0.0317575,299.558,313.664,21.0477,105.576
29837.6,0.61064,0.0142596,287.423,306.366,10.4396,69.9785
92835.3,2.65079,0.0252555,300.88,303.07,20.5031,350.456
47334.3,2.37744,0.0424024,300.768,344.259,23.7482,183.981
1372.26,4.14243,0.0242964,298.603,343.871,12.1757,13.6448
1092.1,10.8473,0.0422057,295.472,309.704,12.9674,17.3562
24835.4,0.450773,0.0289395,309.202,300.929,14.164,49.9543
8425.61,15.7443,0.0564442,308.514,342.306,24.2535,98.0404
9752.27,0.413811,0.0479682,289.666,302.746,14.2813,24.218
